field,lenient_score,token_f1,ner_f1,chunk_recall,type_f1,row_exact_match
ประเภท,0.92183908045977,,,,0.92183908045977,0.73
ประวัติการแพ้ยา,0.9101840566716018,0.26688632619439867,0.20037807183364836,0.7731958762886598,,0.24
โรคประจำตัว,0.881755570675375,0.5499524262607042,0.4936562860438293,0.6434599156118143,,0.604
ประวัติการจ่ายยา,0.29862292805886576,0.19708029197080293,0.0718562874251497,0.13551401869158877,,0.792
บันทึกทางการแพทย์,0.39231554846214056,0.2385766275778407,0.0015898251192368838,0.006012024048096192,,0.002
คำแนะนำจากเภสัช,0.6213309948880836,0.42186801727990464,0.03752131893121092,0.098,,0.04
